$GPGGA,999999.000,6237.8000,N,01757.0000,E,1,9,0.91,44.7,M,24.4,M,,*64
$GPGGA,999999.000,6237.9000,N,01757.1000,E,1,9,0.91,44.7,M,24.4,M,,*40
$GPGGA,999999.000,6238.0000,N,01757.2000,E,1,9,0.91,44.7,M,24.4,M,,*61
$GPGGA,999999.000,6238.0000,N,01757.3000,E,1,9,0.91,44.7,M,24.4,M,,*60
$GPGGA,999999.000,6237.9000,N,01757.4000,E,1,9,0.91,44.7,M,24.4,M,,*61
$GPGGA,999999.000,6237.8000,N,01757.5000,E,1,9,0.91,44.7,M,24.4,M,,*61
$GPGGA,999999.000,6237.7000,N,01757.5000,E,1,9,0.91,44.7,M,24.4,M,,*6E
$GPGGA,999999.000,6237.6000,N,01757.4000,E,1,9,0.91,44.7,M,24.4,M,,*6E
$GPGGA,999999.000,6237.5000,N,01757.3000,E,1,9,0.91,44.7,M,24.4,M,,*6A
$GPGGA,999999.000,6237.5000,N,01757.2000,E,1,9,0.91,44.7,M,24.4,M,,*6B
$GPGGA,999999.000,6237.5000,N,01757.1000,E,1,9,0.91,44.7,M,24.4,M,,*68
$GPGGA,999999.000,6237.6000,N,01757.0000,E,1,9,0.91,44.7,M,24.4,M,,*6A
$GPGGA,999999.000,6237.7000,N,01756.9000,E,1,9,0.91,44.7,M,24.4,M,,*63
